rank,title,Previous Rank,Revenues (USDM),Revenue Change,Profits (USDM),Profit Change,Assets (USDM),Mkt Value as of 3/29/18 (USDM),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
461,AK Steel Holding,441,"USD6,081 ",3.40%,USD6.20 ,-,"USD4,296 ","USD1,428 ","9,200",Roger K. Newport,Chairman &amp;  Chief Executive Officer,Materials,Metals,18,Beckett Ridge,OH,39.3321262,-84.4172666
462,Securian Financial Group,532,"USD6,067 ",27.00%,USD418.90 ,68.70%,"USD51,232 ",-,"5,000",Christopher M. Hilger,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",1,St Paul,MN,44.9537029,-93.0899578
463,S&amp; P Global,459,"USD6,063 ",7.10%,"USD1,496.00 ",-29.00%,"USD9,425 ","USD47,643 ","20,400",Douglas L. Peterson,"President, Chief Executive Officer &amp;  Director",Business Services,Financial Data Services,24,New York,NY,40.7127753,-74.0059728
464,Markel,460,"USD6,062 ",8.00%,USD395.30 ,-13.30%,"USD32,805 ","USD16,264 ","15,600",Thomas S. Gayner/Richard R. Whitt III,Co-Chief Executive Officer &amp;  Director,Financials,Insurance: Property and Casualty (Stock),3,Glen Allen,VA,37.665978,-77.5063739
465,TravelCenters of America,470,"USD6,052 ",9.80%,USD9.30 ,-,"USD1,618 ",USD144 ,"19,611",Andrew J. Rebholz,Chief Executive Officer &amp;  Director,Retailing,Specialty Retailers: Other,11,Westlake,OH,41.4553232,-81.9179173
466,Conduent,,"USD6,022 ",-,USD181.00 ,-,"USD7,548 ","USD3,923 ","90,000",Ashok Vemuri,Chairman &amp;  Chief Executive Officer,Business Services,Diversified Outsourcing Services,1,Florham Park,NJ,40.787878,-74.3882072
467,M&amp; T Bank Corp.,455,"USD6,019 ",5.20%,"USD1,408.30 ",7.10%,"USD118,594 ","USD27,379 ","16,354",Ren� F. Jones,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,3,Buffalo,NY,42.8864468,-78.8783689
468,Clorox,453,"USD5,973 ",3.70%,USD701.00 ,8.20%,"USD4,573 ","USD17,225 ","8,100",Benno O. Dorer,Chairman &amp;  Chief Executive Officer,Household Products,Household and Personal Products,19,Oakland,CA,37.8043637,-122.2711137
469,AmTrust Financial Services,475,"USD5,959 ",9.30%,(USD348.90),-184.90%,"USD25,219 ","USD2,416 ","9,300",Barry D. Zyskind,"Chairman, President &amp;  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),2,New York,NY,40.7127753,-74.0059728
470,KKR,656,"USD5,930 ",71.40%,"USD1,018.30 ",229.20%,"USD45,835 ","USD9,882 ","1,184",Henry R. Kravis/George R. Roberts,Co-Chairman &amp;  Co-Chief Executive Officer,Financials,Securities,6,New York,NY,40.7127753,-74.0059728
471,Ulta Beauty,524,"USD5,885 ",21.20%,USD555.20 ,35.50%,"USD2,909 ","USD12,459 ","24,200",Mary N. Dillon,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,1,Bolingbrook,IL,41.6986416,-88.0683955
472,Yum Brands,422,"USD5,878 ",-7.70%,"USD1,340.00 ",-17.20%,"USD5,311 ","USD28,307 ","60,000",Greg Creed,Chief Executive Officer &amp;  Director,"Hotels, Restaurants &amp;  Leisure",Food Services,20,Louisville,KY,38.2526647,-85.7584557
473,Regeneron Pharmaceuticals,523,"USD5,872 ",20.80%,"USD1,198.50 ",33.80%,"USD8,764 ","USD37,087 ","6,200",Leonard S. Schleifer,"President, Chief Executive Officer &amp;  Director",Health Care,Pharmaceuticals,1,Tarrytown,NY,41.0762077,-73.8587461
474,Windstream Holdings,485,"USD5,853 ",8.60%,"(USD2,116.60)",-,"USD11,084 ",USD289 ,"12,979",Anthony W. Thomas,"President, Chief Executive Officer &amp;  Director",Telecommunications,Telecommunications,6,Little Rock,AR,34.7464809,-92.2895948
475,Magellan Health,526,"USD5,838 ",20.70%,USD110.20 ,41.50%,"USD2,957 ","USD2,605 ","10,700",Barry M. Smith,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,1,Scottsdale,AZ,33.4941704,-111.9260519
476,Western &amp; Southern Financial,483,"USD5,836 ",8.10%,USD310.40 ,28.70%,"USD46,395 ",-,"2,226",John F. Barrett,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",14,Cincinnati,OH,39.1031182,-84.5120196
477,Intercontinental Exchange,437,"USD5,834 ",-2.10%,"USD2,514.00 ",76.80%,"USD78,264 ","USD42,132 ","4,952",Jeffrey C. Sprecher,Chairman &amp;  Chief Executive Officer,Financials,Securities,2,Atlanta,GA,33.7489954,-84.3879824
478,Ingredion,456,"USD5,832 ",2.30%,USD519.00 ,7.00%,"USD6,080 ","USD9,313 ","11,000",James P. Zallie,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Production,7,Westchester,IL,41.8498339,-87.8806738
479,Wyndham Destinations,461,"USD5,821 ",4.00%,USD871.00 ,42.60%,"USD10,403 ","USD11,411 ","39,200",Michael D. Brown,Chairman &amp;  Chief Executive Officer,"Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",5,Parsippany-Troy Hills,NJ,40.8652865,-74.4173877
480,Toll Brothers,497,"USD5,815 ",12.50%,USD535.50 ,40.10%,"USD9,445 ","USD6,566 ","4,500",Douglas C. Yearley Jr.,Chairman &amp;  Chief Executive Officer,Engineering &amp;  Construction,Homebuilders,6,Horsham,PA,40.1784422,-75.1285061
481,Seaboard,486,"USD5,809 ",8.00%,USD247.00 ,-20.80%,"USD5,161 ","USD4,992 ","11,800",Steven J. Bresky,"Chairman, President &amp;  Chief Executive Officer","Food, Beverages &amp;  Tobacco",Food Production,8,Merriam,KS,39.0236165,-94.6935701
482,Booz Allen Hamilton,481,"USD5,804 ",7.40%,USD252.50 ,-14.10%,"USD3,373 ","USD5,617 ","23,300",Horacio D. Rozanski,"President, Chief Executive Officer &amp;  Director",Technology,Information Technology Services,8,McLean,VA,38.9338676,-77.1772604
483,First American Financial,464,"USD5,772 ",3.50%,USD423.00 ,23.30%,"USD9,573 ","USD6,511 ","18,705",Dennis J. Gilmore,Chairman &amp;  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),4,Santa Ana,CA,33.7454725,-117.867653
484,Cincinnati Financial,476,"USD5,732 ",5.20%,"USD1,045.00 ",76.90%,"USD21,843 ","USD12,185 ","4,925",Steven J. Johnston,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Stock),4,Fairfield,OH,39.3454673,-84.5603187
485,Avon Products,444,"USD5,716 ",-2.30%,USD22.00 ,-,"USD3,698 ","USD1,251 ","25,000",Jan Zijderveld,Chairman &amp;  Chief Executive Officer,Household Products,Household and Personal Products,24,Rye,NY,40.9806535,-73.6837399
486,Northern Trust,501,"USD5,716 ",11.10%,"USD1,199.00 ",16.10%,"USD138,591 ","USD23,264 ","18,100",Michael G. O'Grady,"President, Chief Executive Officer &amp;  Director",Financials,Commercial Banks,7,Chicago,IL,41.8781136,-87.6297982
487,Fiserv,471,"USD5,696 ",3.50%,"USD1,246.00 ",34.00%,"USD10,289 ","USD29,466 ","24,000",Jeffery W. Yabuki,"President, Chief Executive Officer &amp;  Director",Business Services,Financial Data Services,8,Brookfield,WI,43.0605671,-88.1064787
488,Harley-Davidson,435,"USD5,647 ",-5.80%,USD521.80 ,-24.60%,"USD9,973 ","USD7,198 ","5,800",Matthew S. Levatich,"President, Chief Executive Officer &amp;  Director",Transportation,Transportation Equipment,17,Milwaukee,WI,43.0389025,-87.9064736
489,Cheniere Energy,,"USD5,601 ",336.50%,(USD393.00),-,"USD27,906 ","USD12,703 ","1,230",Jack A. Fusco,"President, Chief Executive Officer &amp;  Director",Energy,Energy,1,Houston,TX,29.7604267,-95.3698028
490,Patterson,466,"USD5,593 ",0.70%,USD170.90 ,-8.70%,"USD3,508 ","USD2,104 ","7,500",Mark S. Walchirk,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Health Care,2,St Paul,MN,44.9537029,-93.0899578
491,Peabody Energy,533,"USD5,579 ",18.30%,-,-,"USD8,181 ","USD4,649 ","7,100",Glenn L. Kellow,"President, Chief Executive Officer &amp;  Director",Energy,"Mining, Crude-Oil Production",13,St. Louis,MO,38.6270025,-90.1994042
492,ON Semiconductor,598,"USD5,543 ",41.90%,USD810.70 ,345.20%,"USD7,195 ","USD10,406 ","34,000",Keith D. Jackson,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,1,Phoenix,AZ,33.4483771,-112.0740373
493,Simon Property Group,477,"USD5,539 ",1.90%,"USD1,948.00 ",5.90%,"USD32,258 ","USD47,861 ","4,150",David E. Simon,Chairman &amp;  Chief Executive Officer,Financials,Real estate,5,Indianapolis,IN,39.768403,-86.158068
494,Western Union,478,"USD5,524 ",1.90%,(USD557.10),-320.00%,"USD9,231 ","USD8,857 ","11,500",Hikmet Ersek,"President, Chief Executive Officer &amp;  Director",Business Services,Financial Data Services,12,Englewood,CO,39.6477653,-104.9877597
495,NetApp,468,"USD5,519 ",-0.50%,USD509.00 ,122.30%,"USD9,493 ","USD16,528 ","10,100",George Kurian,"President, Chief Executive Officer &amp;  Director",Technology,"Computers, Office Equipment",7,Sunnyvale,CA,37.36883,-122.0363496
496,Polaris Industries,537,"USD5,505 ",19.80%,USD172.50 ,-19.00%,"USD3,090 ","USD7,224 ","11,000",Scott W. Wine,Chairman &amp;  Chief Executive Officer,Transportation,Transportation Equipment,1,Medina,MN,45.0352411,-93.5824586
497,Pioneer Natural Resources,606,"USD5,455 ",42.70%,USD833.00 ,-,"USD17,003 ","USD29,254 ","3,836",Timothy L. Dove,"President, Chief Executive Officer &amp;  Director",Energy,"Mining, Crude-Oil Production",2,Irving,TX,32.8140177,-96.9488945
498,ABM Industries,500,"USD5,454 ",6.00%,USD3.80 ,-93.40%,"USD3,813 ","USD2,200 ","140,000",Scott B. Salmirs,"President, Chief Executive Officer &amp;  Director",Business Services,Diversified Outsourcing Services,3,New York,NY,40.7127753,-74.0059728
499,Vistra Energy,499,"USD5,430 ",5.20%,(USD254.00),-,"USD14,600 ","USD8,925 ","4,150",Curtis A. Morgan,"President, Chief Executive Officer &amp;  Director",Energy,Energy,2,Irving,TX,32.8140177,-96.9488945
500,Cintas,520,"USD5,429 ",10.70%,USD480.70 ,-30.70%,"USD6,844 ","USD18,165 ","42,000",Scott D. Farmer,Chairman &amp;  Chief Executive Officer,Business Services,Diversified Outsourcing Services,1,Cincinnati,OH,39.1031182,-84.5120196
501,Hess,525,"USD5,405 ",11.60%,"(USD4,074.00)",-,"USD23,112 ","USD15,948 ","2,075",John B. Hess,Chairman &amp;  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,New York,NY,40.7127753,-74.0059728
502,Host Hotels &amp; Resorts,472,"USD5,387 ",-1.80%,USD564.00 ,-26.00%,"USD11,693 ","USD13,822 ",205,James F. Risoleo,"President, Chief Executive Officer &amp;  Director",Financials,Real estate,-,Bethesda,MD,38.984652,-77.0947092
503,Kelly Services,490,"USD5,374 ",1.80%,USD71.60 ,-40.70%,"USD2,378 ","USD1,116 ","7,800",George S. Corona,"President, Chief Executive Officer &amp;  Director",Business Services,Temporary Help,-,Troy,MI,42.6064095,-83.1497751
504,Genesis Healthcare,454,"USD5,374 ",-6.30%,(USD579.00),-,"USD4,788 ",USD241 ,"68,700",George V. Hager Jr.,Chief Executive Officer &amp;  Director,Health Care,Health Care: Medical Facilities,-,Kennett Square,PA,39.8467767,-75.7116032
505,Michaels Cos.,496,"USD5,362 ",3.20%,USD390.50 ,3.30%,"USD2,300 ","USD3,586 ","30,500",Carl S. Rubin,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Irving,TX,32.8140177,-96.9488945
506,Advanced Micro Devices,565,"USD5,329 ",24.70%,USD43.00 ,-,"USD3,540 ","USD9,740 ","8,900",Lisa T. Su,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,-,Santa Clara,CA,37.3541079,-121.9552356
507,Zoetis,521,"USD5,307 ",8.60%,USD864.00 ,5.20%,"USD8,586 ","USD40,524 ","9,200",Juan Ram�n Alaix,Chairman &amp;  Chief Executive Officer,Health Care,Pharmaceuticals,-,Parsippany-Troy Hills,NJ,40.8652865,-74.4173877
508,Williams-Sonoma,506,"USD5,292 ",4.10%,USD259.50 ,-15.00%,"USD2,786 ","USD4,441 ","19,350",Laura J. Alber,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Other,-,SF,CA,37.7749295,-122.4194155
509,Fortune Brands Home &amp; Security,511,"USD5,283 ",6.00%,USD472.60 ,14.40%,"USD5,511 ","USD8,717 ","23,870",Christopher J. Klein,Chairman &amp;  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",-,Deerfield,IL,42.1711365,-87.8445119
510,Big Lots,495,"USD5,271 ",1.40%,USD189.80 ,24.20%,"USD1,652 ","USD1,830 ","22,900",Lisa M. Bachmann,Executive V.P.-Principal Executive Officer,Retailing,Specialty Retailers: Other,-,Columbus,OH,39.9611755,-82.9987942
511,Robert Half International,493,"USD5,267 ",0.30%,USD290.60 ,-15.40%,"USD1,868 ","USD7,194 ","17,200",Harold M. Messmer Jr.,Chairman &amp;  Chief Executive Officer,Business Services,Temporary Help,-,Menlo Park,CA,37.4529598,-122.1817252
512,Post Holdings,508,"USD5,226 ",4.00%,USD48.30 ,-,"USD11,877 ","USD4,968 ","11,410",Robert V. Vitale,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Consumer Products,-,St. Louis,MO,38.6270025,-90.1994042
513,Hasbro,509,"USD5,210 ",3.80%,USD396.60 ,-28.10%,"USD5,290 ","USD10,468 ","5,400",Brian D. Goldner,Chairman &amp;  Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,Pawtucket,RI,41.878711,-71.3825558
514,Hanover Insurance Group,517,"USD5,184 ",4.80%,USD186.20 ,20.10%,"USD15,470 ","USD5,017 ","4,600",John C. Roche,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Stock),-,Worcester,MA,42.2625932,-71.8022934
515,Navient,514,"USD5,179 ",4.30%,USD292.00 ,-57.10%,"USD114,991 ","USD3,456 ","6,700",John F. Remondi,"President, Chief Executive Officer &amp;  Director",Financials,Diversified Financials,-,Wilmington,DE,39.7390721,-75.5397878
516,Intuit,527,"USD5,177 ",7.20%,USD971.00 ,-0.80%,"USD4,068 ","USD44,397 ","8,200",Brad D. Smith,"Chairman, President &amp;  Chief Executive Officer",Technology,Computer Software,-,Mountain View,CA,37.3860517,-122.0838511
517,Domtar,505,"USD5,157 ",1.20%,(USD258.00),-301.60%,"USD5,212 ","USD2,667 ","10,000",John D. Williams,"President, Chief Executive Officer &amp;  Director",Materials,Forest and Paper Products,-,Fort Mill,SC,35.0073697,-80.9450759
518,Marathon Oil,536,"USD5,153 ",10.80%,"(USD5,723.00)",-,"USD22,012 ","USD13,707 ","2,300",Lee M. Tillman,"President, Chief Executive Officer &amp;  Director",Energy,"Mining, Crude-Oil Production",-,Houston,TX,29.7604267,-95.3698028
519,Cerner,530,"USD5,142 ",7.20%,USD867.00 ,36.20%,"USD6,469 ","USD19,291 ","26,000",D. Brent Shafer,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,North Kansas City,MO,39.1429081,-94.5729781
520,Analog Devices,660,"USD5,108 ",49.30%,USD727.30 ,-15.60%,"USD21,141 ","USD33,700 ","15,300",Vincent T. Roche,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,-,Norwood,MA,42.1943909,-71.1989695
521,Telephone &amp; Data Systems,504,"USD5,044 ",-1.20%,USD153.00 ,255.80%,"USD9,295 ","USD3,115 ","9,900",LeRoy T. Carlson Jr.,"President, Chief Executive Officer &amp;  Director",Telecommunications,Telecommunications,-,Chicago,IL,41.8781136,-87.6297982
522,Essendant,487,"USD5,037 ",-6.20%,(USD267.00),-518.10%,"USD1,774 ",USD294 ,"6,400",Richard D. Phillips,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,-,Deerfield,IL,42.1711365,-87.8445119
523,Sonoco Products,531,"USD5,037 ",5.30%,USD175.30 ,-38.80%,"USD4,558 ","USD4,829 ","21,000",Robert C. Tiede,"President, Chief Executive Officer &amp;  Director",Materials,"Packaging, Containers",-,Hartsville,SC,34.3740431,-80.0734005
524,Juniper Networks,510,"USD5,027 ",0.70%,USD306.20 ,-48.30%,"USD9,834 ","USD8,364 ","9,381",Rami Rahim,Chairman &amp;  Chief Executive Officer,Technology,Network and Other Communications Equipment,-,Sunnyvale,CA,37.36883,-122.0363496
525,Commercial Metals,535,"USD4,999 ",7.50%,USD46.30 ,-15.40%,"USD2,975 ","USD2,394 ","8,797",Barbara R. Smith,"Chairman, President &amp;  Chief Executive Officer",Materials,Metals,-,Irving,TX,32.8140177,-96.9488945
526,CSRA,570,"USD4,993 ",17.50%,USD304.00 ,248.80%,"USD4,888 ","USD6,759 ","18,500",Lawrence B. Prior III,Chief Executive Officer &amp;  Director,Technology,Information Technology Services,-,Falls Church,VA,38.882334,-77.1710914
527,Under Armour,528,"USD4,977 ",3.10%,(USD48.30),-118.80%,"USD4,006 ","USD6,756 ","11,350",Kevin A. Plank,Chairman &amp;  Chief Executive Officer,Apparel,Apparel,-,Baltimore,MD,39.2903848,-76.6121893
528,RPM International,529,"USD4,958 ",3.00%,USD181.80 ,-48.70%,"USD5,090 ","USD6,372 ","14,318",Frank C. Sullivan,Chairman &amp;  Chief Executive Officer,Chemicals,Chemicals,-,Medina,OH,41.143245,-81.8552196
529,Total System Services,579,"USD4,928 ",18.20%,USD586.20 ,83.40%,"USD6,332 ","USD15,676 ","11,800",M. Troy Woods,"Chairman, President &amp;  Chief Executive Officer",Business Services,Financial Data Services,-,Columbus,GA,32.4609764,-84.9877094
530,Levi Strauss,542,"USD4,904 ",7.70%,USD281.40 ,-3.30%,"USD3,355 ",USD0 ,"13,800",Charles V. Bergh,"President, Chief Executive Officer &amp;  Director",Apparel,Apparel,-,SF,CA,37.7749295,-122.4194155
531,Brunswick,547,"USD4,898 ",9.10%,USD146.40 ,-47.00%,"USD3,358 ","USD5,188 ","15,116",Mark D. Schwabero,Chairman &amp;  Chief Executive Officer,Transportation,Transportation Equipment,-,Libertyville,IL,42.2333571,-87.9259058
532,YRC Worldwide,534,"USD4,891 ",4.10%,(USD10.80),-150.20%,"USD1,586 ",USD299 ,"32,000",Darren D. Hawkins,Chief Executive Officer,Transportation,"Trucking, Truck Leasing",-,Overland Park,KS,38.9822282,-94.6707917
533,Mattel,474,"USD4,882 ",-10.50%,"(USD1,053.80)",-431.40%,"USD6,239 ","USD4,523 ","28,000",Ynon Kreiz,Chief Executive Officer,Household Products,"Toys, Sporting Goods",-,El Segundo,CA,33.9191799,-118.4164652
534,FM Global,557,"USD4,875 ",11.50%,USD254.10 ,-68.10%,"USD23,247 ",-,"5,441",Thomas A. Lawson,"Chairman, President &amp;  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),-,Johnston,RI,41.8205199,-71.512617
535,NiSource,545,"USD4,875 ",8.50%,USD128.50 ,-61.20%,"USD19,962 ","USD8,068 ","8,175",Joseph Hamrock,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,-,Merrillville,IN,41.4828144,-87.3328139
536,Caesars Entertainment,541,"USD4,852 ",6.50%,(USD375.00),-,"USD25,512 ","USD7,838 ","65,000",Mark P. Frissora,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.1699412,-115.1398296
537,Electronic Arts,556,"USD4,845 ",10.20%,USD967.00 ,-16.30%,"USD7,718 ","USD37,188 ","8,800",Andrew Wilson,Chief Executive Officer &amp;  Director,Technology,Entertainment,-,Redwood City,CA,37.4852152,-122.2363548
538,Dynegy,561,"USD4,842 ",12.10%,USD76.00 ,-,"USD11,771 ","USD1,952 ","2,489",Curtis A. Morgan,CEO-Vistra Energy,Energy,Energy,-,Houston,TX,29.7604267,-95.3698028
539,McCormick,553,"USD4,834 ",9.60%,USD477.40 ,1.10%,"USD10,386 ","USD13,964 ","11,700",Lawrence E. Kurzius,"Chairman, President &amp;  Chief Executive Officer","Food, Beverages &amp;  Tobacco",Food Consumer Products,-,Sparks Glencoe,MD,39.5309389,-76.6458043
540,T. Rowe Price,573,"USD4,793 ",13.50%,"USD1,497.80 ",23.30%,"USD7,535 ","USD26,409 ","6,881",William J. Stromberg,"President, Chief Executive Officer &amp;  Director",Financials,Securities,-,Baltimore,MD,39.2903848,-76.6121893
541,Orbital ATK,549,"USD4,764 ",6.90%,USD310.00 ,5.80%,"USD5,666 ","USD7,665 ","13,900",Blake Larson,"President, Chief Executive Officer &amp;  Director",Aerospace &amp;  Defense,Aerospace and Defense,-,Sterling,VA,38.9624899,-77.4380485
542,Tutor Perini,513,"USD4,757 ",-4.30%,USD148.40 ,54.90%,"USD4,264 ","USD1,098 ","10,061",Ronald N. Tutor,Chairman &amp;  Chief Executive Officer,Engineering &amp;  Construction,"Engineering, Construction",-,Los Angeles,CA,34.3058279,-118.4571974
543,Brookdale Senior Living,512,"USD4,747 ",-4.60%,(USD571.40),-,"USD7,675 ","USD1,252 ","62,550",Lucinda M. Baier,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Medical Facilities,-,Brentwood,TN,36.0331164,-86.7827772
544,Huntington Bancshares,610,"USD4,740 ",25.30%,"USD1,186.00 ",66.60%,"USD104,185 ","USD16,209 ","15,770",Stephen D. Steinour,"Chairman, President &amp;  Chief Executive Officer",Financials,Commercial Banks,-,Columbus,OH,39.9611755,-82.9987942
545,Wayfair,666,"USD4,721 ",39.70%,(USD244.60),-,"USD1,213 ","USD5,977 ","7,751",Niraj S. Shah,"Co-Chairman, President &amp;  Chief Executive Officer",Technology,Internet Services and Retailing,-,Boston,MA,42.3600825,-71.0588801
546,Rush Enterprises,575,"USD4,714 ",11.80%,USD172.10 ,324.20%,"USD2,890 ","USD1,609 ","6,825",W. M. Rush,"Chairman, President &amp;  Chief Executive Officer",Retailing,"Automotive Retailing, Services",-,New Braunfels,TX,29.7030024,-98.1244531
547,Xylem,611,"USD4,707 ",24.80%,USD331.00 ,27.30%,"USD6,860 ","USD13,839 ","16,200",Patrick K. Decker,"President, Chief Executive Officer &amp;  Director",Industrials,Industrial Machinery,-,Rye Brook,NY,41.0192641,-73.6834621
548,Neiman Marcus Group,515,"USD4,706 ",-4.90%,(USD531.80),-,"USD7,704 ",-,"13,700",Geoffroy van Raemdonck,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Dallas,TX,32.7766642,-96.7969879
549,Hyatt Hotels,552,"USD4,685 ",5.80%,USD249.00 ,22.10%,"USD7,672 ","USD9,054 ","45,000",Mark S. Hoplamazian,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",-,Chicago,IL,41.8781136,-87.6297982
550,Sprouts Farmers Market,585,"USD4,665 ",15.30%,USD158.40 ,27.50%,"USD1,582 ","USD3,122 ","27,000",Amin N. Maredia,Chairman &amp;  Chief Executive Officer,Food &amp;  Drug Stores,Food and Drug Stores,-,Phoenix,AZ,33.4483771,-112.0740373
551,Diebold Nixdorf,672,"USD4,609 ",38.00%,(USD233.10),-,"USD5,250 ","USD1,170 ","23,000",Gerrard B. Schmid,"President, Chief Executive Officer &amp;  Director",Technology,"Computers, Office Equipment",-,North Canton,OH,40.875891,-81.4023356
552,Roper Technologies,609,"USD4,608 ",21.60%,USD971.80 ,47.50%,"USD14,316 ","USD28,862 ","14,236",Brian D. Jellison,"Chairman, President &amp;  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Sarasota,FL,27.3364347,-82.5306527
553,Smart &amp; Final Stores,559,"USD4,571 ",5.30%,(USD138.90),-1172.90%,"USD1,810 ",USD412 ,"7,570",David G. Hirz,"President, Chief Executive Officer &amp;  Director",Food &amp;  Drug Stores,Food and Drug Stores,-,Commerce,CA,34.0005691,-118.1597929
554,CommScope Holding,518,"USD4,561 ",-7.40%,USD193.80 ,-13.00%,"USD7,042 ","USD7,670 ","20,000",Marvin S. Edwards Jr.,"President, Chief Executive Officer &amp;  Director",Technology,Network and Other Communications Equipment,-,Newton,NC,35.7344538,-81.3444573
555,Tapestry,546,"USD4,488.30 ",-0.10%,USD591.00 ,28.30%,"USD5,831.60 ","USD14,988 ",12450,Victor Luis,Chairman &amp;  Chief Executive Officer,Apparel,Apparel,-,New York City,NY,40.7127753,-74.0059728
556,Diplomat Pharmacy,554,"USD4,485 ",1.70%,USD15.50 ,-45.10%,"USD1,940 ","USD1,493 ","2,298",Brian Griffin,Interim Chief Executive Officer &amp;  Director,Health Care,Health Care: Pharmacy and Other Services,-,Flint,MI,43.0125274,-83.6874562
557,Chipotle Mexican Grill,599,"USD4,476 ",14.70%,USD176.30 ,668.40%,"USD2,046 ","USD9,025 ","68,890",Brian R. Niccol,Chairman &amp;  Chief Executive Officer,"Hotels, Restaurants &amp;  Leisure",Food Services,-,Denver,CO,39.7392358,-104.990251
558,Agilent Technologies,576,"USD4,472 ",6.40%,USD684.00 ,48.10%,"USD8,426 ","USD21,574 ","13,500",Michael R. McMullen,"President, Chief Executive Officer &amp;  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Santa Clara,CA,37.3541079,-121.9552356
559,Science Applications International,551,"USD4,454 ",0.30%,USD179.00 ,25.20%,"USD2,073 ","USD3,332 ","15,391",Anthony J. Moraco,Chairman &amp;  Chief Executive Officer,Technology,Information Technology Services,-,Reston,VA,38.9586307,-77.3570028
560,MDU Resources Group,569,"USD4,444 ",4.50%,USD281.20 ,336.40%,"USD6,335 ","USD5,500 ","10,140",David L. Goodin,"President, Chief Executive Officer &amp;  Director",Energy,Energy,-,Bismarck,ND,46.8083268,-100.7837392
561,Select Medical Holdings,563,"USD4,444 ",3.70%,USD177.20 ,53.50%,"USD5,127 ","USD2,313 ","36,050",David S. Chernow,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Medical Facilities,-,Mechanicsburg,PA,40.2142565,-77.0085876
562,Boise Cascade,597,"USD4,432 ",13.30%,USD83.00 ,116.90%,"USD1,607 ","USD1,500 ","6,370",Thomas K. Corrick,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,-,Boise,ID,43.6150186,-116.2023137
563,National General Holdings,643,"USD4,431 ",24.70%,USD105.80 ,-39.80%,"USD8,440 ","USD2,598 ","7,570",Barry Karfunkel,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Stock),-,New York,NY,40.7127753,-74.0059728
564,SCANA,572,"USD4,407 ",4.30%,(USD119.00),-120.00%,"USD18,739 ","USD5,356 ","5,228",Jimmy E. Addison,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,-,Cayce,SC,33.9657091,-81.0739827
565,Graphic Packaging Holding,562,"USD4,404 ",2.50%,USD300.20 ,31.70%,"USD4,863 ","USD4,754 ","13,000",Michael P. Doss,"President, Chief Executive Officer &amp;  Director",Materials,"Packaging, Containers",-,Atlanta,GA,33.7489954,-84.3879824
566,Fastenal,591,"USD4,391 ",10.80%,USD578.60 ,15.80%,"USD2,911 ","USD15,703 ","20,565",Daniel L. Florness,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,-,Winona,MN,44.0553908,-91.6663523
